rank,cp_iters,params,assumed_pck20,cp_latency_us_at_100pct,onnx_latency_us_at_100pct,total_latency_us_at_100pct,fps_at_100pct,onnx_mean_us,onnx_median_us,onnx_p95_us,onnx_min_us,cpu_availability,effective_total_us,effective_fps,target_latency_us,meets_target,selected,selected_rank
2,10,64134,47.0,1700.0,171.9738,1871.9738,534.1955106422964,171.9738,152.85,279.0,136.1,0.2,9359.868999999999,106.83910212845929,20000.0,True,False,4
4,10,64884,50.8,3400.0,204.1934,3604.1934,277.45458942353093,204.1934,197.6,279.5,140.6,0.2,18020.967,55.490917884706185,20000.0,True,True,4
6,10,65642,51.6,5100.0,155.8584,5255.8584,190.26387773308352,155.8584,147.3,196.7,142.2,0.2,26279.291999999998,38.05277554661671,20000.0,False,False,4
8,10,66408,52.1,6800.0,199.9702,6999.9702,142.8577510229972,199.9702,162.5,327.9,144.8,0.2,34999.850999999995,28.571550204599447,20000.0,False,False,4
2,10,64134,47.0,1700.0,171.9738,1871.9738,534.1955106422964,171.9738,152.85,279.0,136.1,0.4,4679.934499999999,213.67820425691858,20000.0,True,False,8
4,10,64884,50.8,3400.0,204.1934,3604.1934,277.45458942353093,204.1934,197.6,279.5,140.6,0.4,9010.4835,110.98183576941237,20000.0,True,False,8
6,10,65642,51.6,5100.0,155.8584,5255.8584,190.26387773308352,155.8584,147.3,196.7,142.2,0.4,13139.645999999999,76.10555109323342,20000.0,True,False,8
8,10,66408,52.1,6800.0,199.9702,6999.9702,142.8577510229972,199.9702,162.5,327.9,144.8,0.4,17499.925499999998,57.143100409198894,20000.0,True,True,8
2,10,64134,47.0,1700.0,171.9738,1871.9738,534.1955106422964,171.9738,152.85,279.0,136.1,0.8,2339.9672499999997,427.35640851383715,20000.0,True,False,8
4,10,64884,50.8,3400.0,204.1934,3604.1934,277.45458942353093,204.1934,197.6,279.5,140.6,0.8,4505.24175,221.96367153882474,20000.0,True,False,8
6,10,65642,51.6,5100.0,155.8584,5255.8584,190.26387773308352,155.8584,147.3,196.7,142.2,0.8,6569.822999999999,152.21110218646683,20000.0,True,False,8
8,10,66408,52.1,6800.0,199.9702,6999.9702,142.8577510229972,199.9702,162.5,327.9,144.8,0.8,8749.962749999999,114.28620081839779,20000.0,True,True,8
